"##features#size#min";"##characteristics#cpu#center";"##characteristics#cpu#halfrange"
1;0.00055;1.8e-05
2;0.0005555;1.65e-05
3;0.000579;4.3e-05
4;0.0006075;3.15e-05
5;0.0006155;3.55e-05
6;0.000628;1.5e-05
7;0.000653;2.6e-05
8;0.0006565;5.35e-05
9;0.0006605;4.45e-05
10;0.0006615;2.05e-05
11;0.000667;3.1e-05
12;0.000669;2e-05
13;0.0006705;2.25e-05
14;0.0006735;4.15e-05
15;0.000676;2.6e-05
16;0.0006785;1.85e-05
17;0.0006815;2.55e-05
18;0.000686;6.4e-05
19;0.0006875;3.35e-05
20;0.000697;2.3e-05
21;0.000698;1.4e-05
22;0.000701;3.3e-05
23;0.000703;4.5e-05
24;0.000709;0.000117
25;0.000713;3.3e-05
26;0.000723;0.000104
27;0.0007255;2.35e-05
28;0.000738;6e-05
29;0.000744;7.3e-05
30;0.000772;6.4e-05
31;0.0007875;0.0001085
32;0.000805;2.9e-05
33;0.00081;2.2e-05
34;0.0008235;2.45e-05
35;0.0008255;5.75e-05
36;0.0008295;2.55e-05
37;0.000835;3e-05
38;0.000854;6.5e-05
39;0.0008705;6.65e-05
40;0.000955;6.8e-05
41;0.00096;5.5e-05
42;0.000967;4.3e-05
43;0.000995;0.000201
44;0.00106;2e-05
45;0.001083;5.5e-05
46;0.0010885;3.55e-05
47;0.001093;5.1e-05
48;0.001096;0.000318
49;0.0011175;0.0001515
50;0.001126;3.4e-05
51;0.001129;0.000478
52;0.0011315;0.0004685
53;0.001133;3e-05
54;0.0011355;3.45e-05
55;0.0011375;0.0002115
56;0.0011545;0.0001325
57;0.001168;3.3e-05
58;0.0011735;1.85e-05
59;0.001178;4.7e-05
60;0.0011805;0.0004705
61;0.0011825;1.45e-05
62;0.001184;2.6e-05
63;0.0011895;4.75e-05
64;0.0011895;5.65e-05
65;0.0011915;9.05e-05
66;0.0012135;3.75e-05
67;0.0012195;4.45e-05
68;0.001228;0.0001
69;0.0012295;1.15e-05
70;0.0012655;3.95e-05
71;0.0013185;0.0001405
72;0.001325;0.000188
73;0.001331;0.000165
74;0.0013395;0.0002095
75;0.001375;1.8e-05
76;0.0013855;0.0002625
77;0.0013925;0.0002365
78;0.0013935;0.0002135
79;0.0014025;5.05e-05
80;0.00141;5e-05
81;0.0014175;0.0002735
82;0.0014195;0.0002015
83;0.001421;0.000873
84;0.001437;0.00015
85;0.0014715;3.65e-05
86;0.0014935;0.0001665
87;0.001509;0.000162
88;0.001593;3.9e-05
89;0.001596;0.000104
90;0.0015995;0.0009525
91;0.0016005;0.0001695
92;0.001622;8.5e-05
93;0.001628;4e-05
94;0.001634;0.000233
95;0.001637;0.000246
96;0.0016545;2.55e-05
97;0.0016675;4.55e-05
98;0.001672;0.000274
99;0.0016775;0.0003435
100;0.001699;9.1e-05
101;0.001702;4.1e-05
102;0.0017135;0.0002325
103;0.001717;6.9e-05
104;0.001722;0.00036
105;0.001753;8.6e-05
106;0.001759;5.2e-05
107;0.001765;0.000148
108;0.0017675;2.75e-05
109;0.001771;0.000172
110;0.00178;0.000385
111;0.001847;0.000112
112;0.001848;0.00023
113;0.001857;0.000394
114;0.001873;0.000304
115;0.00191;0.000747
116;0.001925;0.000235
117;0.0019625;0.0007975
118;0.001963;0.000205
119;0.0019655;0.0007725
120;0.002008;0.00034
121;0.0020745;8.35e-05
122;0.0020945;9.15e-05
123;0.002148;0.000116
124;0.0021495;0.0001295
125;0.002196;0.000174
126;0.0022295;0.0001875
127;0.002231;0.001254
128;0.0022885;0.0002295
129;0.0023045;0.0013135
130;0.002324;3.6e-05
131;0.0023295;0.0007035
132;0.0023515;0.0002045
133;0.002377;5.3e-05
134;0.0024235;0.0003115
135;0.0024925;0.0011535
136;0.002517;0.000216
137;0.0025665;0.0005235
138;0.002574;0.000531
139;0.002575;0.000546
140;0.0026235;0.0001675
141;0.002683;0.001113
142;0.00269;0.000206
143;0.0027175;0.0010255
144;0.002737;0.000182
145;0.0027405;0.0006755
146;0.00275;0.000357
147;0.002766;0.001074
148;0.002831;0.000284
149;0.00285;0.000335
150;0.002858;0.000198
151;0.002868;0.000325
152;0.0028735;0.0001275
153;0.0028825;0.0001425
154;0.0029415;0.0013765
155;0.002974;0.000145
156;0.0029845;0.0001765
157;0.0029995;0.0001725
158;0.0030835;7.95e-05
159;0.0031;0.000934
160;0.0031185;0.0003675
161;0.0031205;0.0001255
162;0.003121;2.8e-05
163;0.003193;7.1e-05
164;0.003232;0.000172
165;0.003233;0.000117
166;0.0032955;0.0001585
167;0.0032995;0.0002695
168;0.0033055;9.05e-05
169;0.003327;0.000206
170;0.00333;7e-05
171;0.0033335;0.0001545
172;0.003348;2.6e-05
173;0.0033565;0.0001935
174;0.0033565;7.35e-05
175;0.0033755;0.0010055
176;0.0033945;0.0003085
177;0.003397;0.000174
178;0.003403;0.000181
179;0.003442;0.000334
180;0.003501;0.000471
181;0.0035105;0.0001875
182;0.003533;0.00034
183;0.003537;0.00015
184;0.0035385;0.0001085
185;0.003549;0.000237
186;0.0035715;0.0003365
187;0.003573;0.000355
188;0.00361;0.000586
189;0.003639;0.000331
190;0.003656;0.000164
191;0.003657;0.000693
192;0.003657;0.000554
193;0.0036755;0.0005495
194;0.0037055;0.0005205
195;0.0037065;0.0001245
196;0.0037505;0.0008655
197;0.0037705;0.0001575
198;0.0038585;0.0005485
199;0.0038625;0.0005385
200;0.003872;0.000686
201;0.003882;0.000665
202;0.0039075;4.85e-05
203;0.0039155;0.0002365
204;0.0039465;0.0007675
205;0.0039575;0.0002075
206;0.0039675;0.0011825
207;0.0039775;0.0001855
208;0.0039915;0.0001385
209;0.004006;0.000968
210;0.0040475;0.0007175
211;0.0040515;0.0010935
212;0.004061;0.000668
213;0.004071;3.6e-05
214;0.004075;0.000192
215;0.004115;7.6e-05
216;0.004152;0.000257
217;0.004215;0.000164
218;0.0042165;0.0003945
219;0.0042645;0.0008455
220;0.0043315;0.0002095
221;0.0043415;0.0001955
222;0.0043875;0.0002695
223;0.004391;0.000308
224;0.0044095;0.0002735
225;0.0044195;0.0012935
226;0.0044485;0.0003435
227;0.0044745;0.0003405
228;0.0044835;0.0003025
229;0.004522;0.000675
230;0.0045565;0.0004545
231;0.0045905;0.0002105
232;0.00461;5.8e-05
233;0.004614;0.000149
234;0.0046595;0.0003745
235;0.004687;0.001741
236;0.004711;0.000332
237;0.0047265;0.0008805
238;0.0047415;0.0006945
239;0.0047665;0.0002935
240;0.0047815;0.0016765
241;0.0048605;0.0007315
242;0.004975;0.000762
243;0.0050185;0.0002385
244;0.005071;0.000169
245;0.0052375;0.0003865
246;0.0053515;9.55e-05
247;0.0053755;0.0005985
248;0.0054065;0.0002155
249;0.0054355;0.0001175
250;0.005444;0.000115
251;0.005492;0.00028
252;0.005513;0.001441
253;0.005524;0.000302
254;0.0055255;0.0002505
255;0.005526;0.000136
256;0.005544;0.00038
257;0.005554;0.000194
258;0.005573;0.000172
259;0.005609;0.000179
260;0.005632;0.000186
261;0.005642;0.000128
262;0.005676;0.000315
263;0.005713;0.000114
264;0.0057485;0.0002595
265;0.005793;0.000176
266;0.006001;0.000304
267;0.0060015;0.0005185
268;0.0061245;0.0001775
269;0.0061815;0.0001835
270;0.0062015;6.65e-05
271;0.006217;0.000353
272;0.006252;0.000794
273;0.006288;0.001065
274;0.0063665;0.0003435
275;0.0064175;0.0011265
276;0.0064645;8.55e-05
277;0.006488;0.000402
278;0.0065495;0.0014365
279;0.0065665;0.0007515
280;0.006673;0.000435
281;0.0067615;0.0007575
282;0.0067945;0.0004955
283;0.006804;9.7e-05
284;0.0068255;0.0005665
285;0.0069265;0.0003835
286;0.0069295;0.0009625
287;0.006961;0.000749
288;0.0069995;0.0002685
289;0.007032;0.00056
290;0.0070335;0.0002475
291;0.0070795;0.0009525
292;0.007097;0.0007
293;0.0071325;0.0002795
294;0.0071845;0.0003595
295;0.007196;0.001152
296;0.007207;0.001051
297;0.007209;0.000317
298;0.0072215;0.0008315
299;0.007256;0.000521
300;0.0072685;0.0003635
301;0.007279;0.000303
302;0.00728;0.000404
303;0.007297;0.000321
304;0.0073235;0.0012375
305;0.0074735;0.0001575
306;0.0075105;0.0003875
307;0.007539;0.001266
308;0.0075485;0.0006485
309;0.007593;0.001176
310;0.007595;0.000245
311;0.007625;0.00117
312;0.007672;0.001663
313;0.0076875;0.0005915
314;0.0076955;0.0001965
315;0.0078565;0.0003335
316;0.007948;0.000186
317;0.008115;0.000411
318;0.0083465;0.0058345
319;0.0084305;0.0006115
320;0.00844;0.00041
321;0.0087275;0.0005905
322;0.008755;0.000407
323;0.0087595;0.0004725
324;0.008801;0.001149
325;0.0088105;0.0008045
326;0.0090715;0.0008155
327;0.0091085;0.0010175
328;0.009158;0.00081
329;0.0091745;0.0005955
330;0.009207;0.000742
331;0.0092705;0.0007965
332;0.009455;0.000755
333;0.0098725;0.0007255
334;0.0099135;0.0003665
335;0.010265;0.000199
336;0.0103945;0.0002265
337;0.010431;0.000579
338;0.0105545;9.75e-05
339;0.010662;0.000333
340;0.010853;0.000472
341;0.0110365;0.0001925
342;0.0110475;0.0006285
343;0.011076;0.000482
344;0.0113105;0.0006615
345;0.011333;0.000693
346;0.0113335;0.0005295
347;0.011421;0.000846
348;0.011442;0.00083
349;0.0115215;0.0008425
350;0.011708;0.000515
351;0.0118925;0.0009615
352;0.0119025;0.0015095
353;0.0120865;0.0003365
354;0.0121795;0.0006075
355;0.012251;0.0006
356;0.012646;0.001059
357;0.012914;0.002614
358;0.0134235;0.0013035
359;0.013684;0.001019
360;0.013744;0.000603
361;0.0137755;0.0009865
362;0.013907;0.000565
363;0.014042;0.000479
364;0.01414;0.001004
365;0.0145735;0.0008515
366;0.014716;0.000977
367;0.0147465;0.0013475
368;0.014853;0.000414
369;0.0154045;0.0007685
370;0.01557;0.000996
371;0.015576;0.001478
372;0.0167245;0.0010785
373;0.0167265;0.0009885
374;0.017055;0.001081
375;0.017327;0.001149
376;0.0173765;0.0032205
377;0.017496;0.00088
378;0.0177305;0.0012135
379;0.018455;0.000978
380;0.0191155;0.0012795
381;0.019899;0.000652
382;0.020283;0.001561
383;0.0203125;0.0007575
384;0.0204095;0.0003795
385;0.020549;0.000243
386;0.020769;0.000512
387;0.0214125;0.0006095
388;0.021501;0.000234
389;0.021565;0.000338
390;0.0216905;0.0004405
391;0.0217475;0.0009735
392;0.021895;0.00095
393;0.02194;0.000562
394;0.022103;0.000954
395;0.022409;0.001449
396;0.0226355;0.0015905
397;0.0228475;0.0012265
398;0.022899;0.001401
399;0.022966;0.001589
400;0.0230895;0.0006105
401;0.0231365;0.0009735
402;0.0232405;0.0006185
403;0.0234065;0.0022815
404;0.023595;0.001682
405;0.025811;0.000431
406;0.0265395;0.0009785
407;0.0266235;0.0009295
408;0.0270845;0.0009195
409;0.027127;0.000875
410;0.027488;0.001149
411;0.0274915;0.0008075
412;0.027798;0.002872
413;0.0278965;0.0013975
414;0.0282265;0.0014405
415;0.028372;0.00118
416;0.0291235;0.0008525
417;0.029278;0.000607
418;0.029517;0.002713
419;0.033242;0.001852
420;0.033877;0.001375
421;0.035003;0.001212
422;0.0353735;0.0018125
423;0.035565;0.002359
424;0.0363285;0.0010055
425;0.0377045;0.0015385
426;0.0394385;0.0007695
427;0.03964;0.000876
428;0.0400345;0.0003885
429;0.0403905;0.0008545
430;0.04152;0.004048
431;0.0416295;0.0017255
432;0.042053;0.002555
433;0.042484;0.001858
434;0.0425165;0.0031085
435;0.043049;0.002107
436;0.043418;0.001291
437;0.0438165;0.0014285
438;0.043889;0.001596
439;0.0439605;0.0011625
440;0.044215;0.001911
441;0.0444465;0.0028835
442;0.0445925;0.0025685
443;0.044841;0.001248
444;0.0452995;0.0011685
445;0.0459985;0.0013905
446;0.046441;0.001578
447;0.0464735;0.0008645
448;0.0468165;0.0009575
449;0.047061;0.001905
450;0.0487;0.002351
451;0.0508215;0.0004825
452;0.0516665;0.0017115
453;0.0532595;0.0015205
454;0.0537915;0.0015305
455;0.0547475;0.0019445
456;0.054956;0.002351
457;0.0560945;0.0035105
458;0.0562555;0.0033155
459;0.056568;0.003434
460;0.0565955;0.0021675

